sort,time
qs1,0.11489486694335938
qs2,0.20915508270263672
qs3,0.20733308792114258
qs4,0.20363664627075195
qs5,0.19124913215637207
merge1,0.2052454948425293
partition_sort,0.07830190658569336
qs1,0.12746453285217285
qs2,0.20198774337768555
qs3,0.20641374588012695
qs4,0.21152567863464355
qs5,0.2015993595123291
merge1,0.19954156875610352
partition_sort,0.07448625564575195
qs1,0.11452007293701172
qs2,0.17501306533813477
qs3,0.20629644393920898
qs4,0.2017834186553955
qs5,0.17910075187683105
merge1,0.21619129180908203
partition_sort,0.07605981826782227
qs1,0.11925339698791504
qs2,0.1806325912475586
qs3,0.19247841835021973
qs4,0.21109485626220703
qs5,0.20023655891418457
merge1,0.20848870277404785
partition_sort,0.07302689552307129
qs1,0.12521004676818848
qs2,0.18677282333374023
qs3,0.19905686378479004
qs4,0.202070951461792
qs5,0.2146008014678955
merge1,0.19473814964294434
partition_sort,0.0751504898071289
qs1,0.12120604515075684
qs2,0.19918513298034668
qs3,0.18370342254638672
qs4,0.2049415111541748
qs5,0.19727826118469238
merge1,0.2218611240386963
partition_sort,0.07145929336547852
qs1,0.12046647071838379
qs2,0.2086179256439209
qs3,0.2168562412261963
qs4,0.2143261432647705
qs5,0.23585128784179688
merge1,0.20670509338378906
partition_sort,0.07613945007324219
qs1,0.13073086738586426
qs2,0.19659042358398438
qs3,0.23581933975219727
qs4,0.21712946891784668
qs5,0.19465279579162598
merge1,0.24194622039794922
partition_sort,0.07908749580383301
qs1,0.12349462509155273
qs2,0.19449210166931152
qs3,0.20704221725463867
qs4,0.20928239822387695
qs5,0.20666050910949707
merge1,0.20173001289367676
partition_sort,0.07114934921264648
qs1,0.12109375
qs2,0.18650054931640625
qs3,0.19980788230895996
qs4,0.21464133262634277
qs5,0.18913698196411133
merge1,0.19898152351379395
partition_sort,0.07400631904602051
qs1,0.11900615692138672
qs2,0.1914961338043213
qs3,0.19188475608825684
qs4,0.20990753173828125
qs5,0.18160033226013184
merge1,0.2178971767425537
partition_sort,0.07793283462524414
qs1,0.1276717185974121
qs2,0.18496251106262207
qs3,0.19579601287841797
qs4,0.22010397911071777
qs5,0.1831066608428955
merge1,0.20374822616577148
partition_sort,0.07486748695373535
qs1,0.11991500854492188
qs2,0.18940329551696777
qs3,0.18071699142456055
qs4,0.2076420783996582
qs5,0.19356870651245117
merge1,0.23031353950500488
partition_sort,0.07356715202331543
qs1,0.12995600700378418
qs2,0.19230175018310547
qs3,0.19643306732177734
qs4,0.20323443412780762
qs5,0.19368720054626465
merge1,0.20091795921325684
partition_sort,0.07274556159973145
qs1,0.12836241722106934
qs2,0.24616575241088867
qs3,0.2449948787689209
qs4,0.2193605899810791
qs5,0.22885608673095703
merge1,0.23057889938354492
partition_sort,0.07829499244689941
qs1,0.12385296821594238
qs2,0.19489693641662598
qs3,0.2000737190246582
qs4,0.24530673027038574
qs5,0.2214670181274414
merge1,0.23001527786254883
partition_sort,0.07369112968444824
qs1,0.1229557991027832
qs2,0.18793129920959473
qs3,0.1989424228668213
qs4,0.20119285583496094
qs5,0.18727445602416992
merge1,0.19358611106872559
partition_sort,0.07156777381896973
qs1,0.11356949806213379
qs2,0.17896652221679688
qs3,0.18570375442504883
qs4,0.2059328556060791
qs5,0.18502306938171387
merge1,0.1933302879333496
partition_sort,0.07547879219055176
qs1,0.11318492889404297
qs2,0.17669439315795898
qs3,0.20768094062805176
qs4,0.21297049522399902
qs5,0.19168806076049805
merge1,0.22236084938049316
partition_sort,0.08464598655700684
qs1,0.11272192001342773
qs2,0.24915838241577148
qs3,0.208404541015625
qs4,0.21293878555297852
qs5,0.2076106071472168
merge1,0.24094176292419434
partition_sort,0.07601404190063477
qs1,0.12114906311035156
qs2,0.20684194564819336
qs3,0.2024059295654297
qs4,0.19014692306518555
qs5,0.17905163764953613
merge1,0.19571399688720703
partition_sort,0.06889057159423828
qs1,0.11288619041442871
qs2,0.17800617218017578
qs3,0.17777132987976074
qs4,0.1959056854248047
qs5,0.17425990104675293
merge1,0.2235088348388672
partition_sort,0.07196855545043945
qs1,0.11987805366516113
qs2,0.19157147407531738
qs3,0.18430685997009277
qs4,0.19550776481628418
qs5,0.22347474098205566
merge1,0.20209717750549316
partition_sort,0.07461214065551758
qs1,0.12215852737426758
qs2,0.19014906883239746
qs3,0.2011120319366455
qs4,0.19510960578918457
qs5,0.19179987907409668
merge1,0.20213794708251953
partition_sort,0.09307193756103516
qs1,0.14333009719848633
qs2,0.19934964179992676
qs3,0.19249439239501953
qs4,0.23522710800170898
qs5,0.21062493324279785
merge1,0.20749664306640625
partition_sort,0.07201957702636719
qs1,0.13223838806152344
qs2,0.19700288772583008
qs3,0.21440720558166504
qs4,0.1983332633972168
qs5,0.2129518985748291
merge1,0.22551822662353516
partition_sort,0.08547306060791016
qs1,0.16510915756225586
qs2,0.1873319149017334
qs3,0.20365405082702637
qs4,0.20296263694763184
qs5,0.1916646957397461
merge1,0.20362234115600586
partition_sort,0.07272005081176758
qs1,0.11409497261047363
qs2,0.18063974380493164
qs3,0.19080471992492676
qs4,0.2115623950958252
qs5,0.18116426467895508
merge1,0.20128750801086426
partition_sort,0.07401895523071289
qs1,0.13478636741638184
qs2,0.1779332160949707
qs3,0.17958426475524902
qs4,0.19833159446716309
qs5,0.17554736137390137
merge1,0.1920621395111084
partition_sort,0.07694625854492188
qs1,0.11250710487365723
qs2,0.17003512382507324
qs3,0.18972301483154297
qs4,0.22989606857299805
qs5,0.18210196495056152
merge1,0.21890950202941895
partition_sort,0.06950807571411133
qs1,0.12601613998413086
qs2,0.21166205406188965
qs3,0.2178645133972168
qs4,0.1927318572998047
qs5,0.19686341285705566
merge1,0.22168278694152832
partition_sort,0.08065390586853027
qs1,0.1401987075805664
qs2,0.21756339073181152
qs3,0.20194315910339355
qs4,0.18935561180114746
qs5,0.18013763427734375
merge1,0.22738218307495117
partition_sort,0.06910371780395508
qs1,0.11499643325805664
qs2,0.19278478622436523
qs3,0.21044564247131348
qs4,0.1941695213317871
qs5,0.19892358779907227
merge1,0.19629573822021484
partition_sort,0.07698798179626465
qs1,0.11564803123474121
qs2,0.18350005149841309
qs3,0.18142414093017578
qs4,0.18341541290283203
qs5,0.182420015335083
merge1,0.19113612174987793
partition_sort,0.07103371620178223
qs1,0.1119375228881836
qs2,0.18860793113708496
qs3,0.1971757411956787
qs4,0.1929788589477539
qs5,0.18097281455993652
merge1,0.203704833984375
partition_sort,0.06886506080627441
qs1,0.12928557395935059
qs2,0.19289875030517578
qs3,0.2251131534576416
qs4,0.20431232452392578
qs5,0.18601155281066895
merge1,0.2043449878692627
partition_sort,0.06853675842285156
qs1,0.1285254955291748
qs2,0.22121381759643555
qs3,0.17528939247131348
qs4,0.21506309509277344
qs5,0.17125225067138672
merge1,0.21961426734924316
partition_sort,0.0765838623046875
qs1,0.13384675979614258
qs2,0.2142333984375
qs3,0.19211673736572266
qs4,0.2039029598236084
qs5,0.17603731155395508
merge1,0.19102025032043457
partition_sort,0.0720682144165039
qs1,0.13426566123962402
qs2,0.20137763023376465
qs3,0.19361042976379395
qs4,0.21373486518859863
qs5,0.18935346603393555
merge1,0.21342849731445312
partition_sort,0.07578802108764648
qs1,0.1192021369934082
qs2,0.18172550201416016
qs3,0.1788780689239502
qs4,0.1910860538482666
qs5,0.18500208854675293
merge1,0.1909167766571045
partition_sort,0.07021713256835938
qs1,0.1258533000946045
qs2,0.18549227714538574
qs3,0.1882483959197998
qs4,0.1963510513305664
qs5,0.1862936019897461
merge1,0.19678378105163574
partition_sort,0.0685586929321289
qs1,0.12644529342651367
qs2,0.18444228172302246
qs3,0.17658424377441406
qs4,0.2015242576599121
qs5,0.17481207847595215
merge1,0.1887509822845459
partition_sort,0.06931233406066895
qs1,0.11288261413574219
qs2,0.17275047302246094
qs3,0.18063569068908691
qs4,0.1891336441040039
qs5,0.18418359756469727
merge1,0.18865156173706055
partition_sort,0.06969738006591797
qs1,0.12332272529602051
qs2,0.17971110343933105
qs3,0.18862628936767578
qs4,0.19329261779785156
qs5,0.17992877960205078
merge1,0.19612884521484375
partition_sort,0.07576274871826172
qs1,0.13281822204589844
qs2,0.20483779907226562
qs3,0.18402814865112305
qs4,0.2039661407470703
qs5,0.17725896835327148
merge1,0.20777392387390137
partition_sort,0.06860494613647461
qs1,0.11400413513183594
qs2,0.1746363639831543
qs3,0.17714142799377441
qs4,0.17965078353881836
qs5,0.18680047988891602
merge1,0.19312047958374023
partition_sort,0.0861661434173584
qs1,0.1277940273284912
qs2,0.18100762367248535
qs3,0.1823434829711914
qs4,0.2242603302001953
qs5,0.1768026351928711
merge1,0.21246337890625
partition_sort,0.07423996925354004
qs1,0.11395096778869629
qs2,0.1997694969177246
qs3,0.18919634819030762
qs4,0.2152407169342041
qs5,0.202423095703125
merge1,0.19831085205078125
partition_sort,0.07026219367980957
