datetime,Bx,By
2023-05-10 19:21:52+00:00,15.622808239700374,9.273523096129837
2023-05-10 19:21:56+00:00,19.23170836454432,9.491249687890138
2023-05-10 19:22:00+00:00,14.911145,5.251901749999999
2023-05-10 19:22:04+00:00,17.929314713216957,7.02558753117207
2023-05-10 19:22:08+00:00,19.151847969543148,5.248291370558375
2023-05-10 19:22:12+00:00,18.38033730964467,4.881966243654822
2023-05-10 19:22:16+00:00,17.262201728395063,5.61913925925926
2023-05-10 19:22:20+00:00,16.919927318932654,7.766935451080051
2023-05-10 19:22:24+00:00,-1.4759875621890546,-1.6655124378109452
2023-05-10 19:22:28+00:00,-5.868824469413233,-7.395713108614232
2023-05-10 19:22:32+00:00,-6.817225967540574,-7.048066416978776
2023-05-10 19:22:36+00:00,-7.099687817258883,-4.294508375634518
2023-05-10 19:22:40+00:00,-4.293411221945137,-4.682913715710724
2023-05-10 19:22:44+00:00,-4.712242394014963,-8.35292319201995
2023-05-10 19:22:48+00:00,12.081728198757764,6.88524049689441
2023-05-10 19:22:52+00:00,15.713493648816938,0.9952951432129514
2023-05-10 19:22:56+00:00,17.500823173803525,3.9163382871536525
2023-05-10 19:23:00+00:00,18.440238693467336,4.177917587939699
2023-05-10 19:23:04+00:00,15.821451711026617,13.527542458808618
2023-05-10 19:23:08+00:00,7.332335055350553,27.242434932349326
2023-05-10 19:23:12+00:00,5.340331604938272,26.52260419753086
2023-05-10 19:23:16+00:00,-3.129262392108508,28.698175832305797
2023-05-10 19:23:20+00:00,-2.2814,29.996905084745762
2023-05-10 19:23:24+00:00,1.2257995073891625,29.316705172413794
2023-05-10 19:23:28+00:00,3.527400240673887,17.39504187725632
2023-05-10 19:23:32+00:00,15.764132544378697,4.786659171597633
2023-05-10 19:23:36+00:00,15.608278117647057,5.302163058823529
2023-05-10 19:23:40+00:00,18.25041757719715,9.76531757719715
2023-05-10 19:23:44+00:00,16.65682517814727,10.028950593824227
2023-05-10 19:23:48+00:00,18.662489417360284,10.758659215219977
2023-05-10 19:23:52+00:00,18.351089311163896,8.679314726840856
2023-05-10 19:23:56+00:00,19.240240380047506,7.218082185273159
2023-05-10 19:24:00+00:00,16.6951820754717,10.228808018867923
2023-05-10 19:24:04+00:00,17.382819323671498,12.451470289855072
